CMDLINE C:\Users\Robert\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.570312 1709670169.5595
MEM 11.324219 1709670169.6599
MEM 19.636719 1709670169.7599
MEM 25.042969 1709670169.8599
MEM 29.335938 1709670169.9599
MEM 36.246094 1709670170.0599
MEM 45.371094 1709670170.1599
MEM 54.300781 1709670170.2609
MEM 61.378906 1709670170.3614
MEM 66.421875 1709670170.4623
MEM 70.910156 1709670170.5633
MEM 73.511719 1709670170.6643
MEM 77.402344 1709670170.7643
MEM 80.402344 1709670170.8643
MEM 83.703125 1709670170.9643
MEM 85.835938 1709670171.0653
MEM 92.222656 1709670171.1663
MEM 93.546875 1709670171.2663
MEM 96.335938 1709670171.3673
MEM 97.679688 1709670171.4673
MEM 99.402344 1709670171.5683
MEM 100.828125 1709670171.6687
MEM 101.886719 1709670171.7687
MEM 110.671875 1709670171.8697
MEM 115.195312 1709670171.9697
MEM 115.246094 1709670172.0700
MEM 115.250000 1709670172.1700
MEM 115.281250 1709670172.2710
MEM 124.453125 1709670172.3720
MEM 133.031250 1709670172.4720
MEM 134.140625 1709670172.5721
MEM 135.042969 1709670172.6850
MEM 135.113281 1709670172.7854
MEM 133.343750 1709670172.8854
