CMDLINE C:\Users\Robert\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.578125 1709670210.5062
MEM 12.179688 1709670210.6072
MEM 19.839844 1709670210.7072
MEM 23.964844 1709670210.8072
MEM 29.000000 1709670210.9082
MEM 34.972656 1709670211.0082
MEM 43.136719 1709670211.1092
MEM 53.441406 1709670211.2092
MEM 60.796875 1709670211.3102
MEM 65.683594 1709670211.4112
MEM 69.636719 1709670211.5112
MEM 72.812500 1709670211.6122
MEM 73.773438 1709670211.7162
MEM 77.437500 1709670211.8172
MEM 80.398438 1709670211.9181
MEM 83.570312 1709670212.0191
MEM 85.726562 1709670212.1193
MEM 92.199219 1709670212.2203
MEM 93.652344 1709670212.3209
MEM 95.539062 1709670212.4319
MEM 96.523438 1709670212.5348
MEM 97.554688 1709670212.6348
MEM 97.957031 1709670212.7525
MEM 99.398438 1709670212.8535
MEM 100.914062 1709670212.9535
MEM 101.585938 1709670213.0541
MEM 108.101562 1709670213.1542
MEM 115.210938 1709670213.2552
MEM 115.269531 1709670213.3552
MEM 115.382812 1709670213.4562
MEM 115.386719 1709670213.5572
MEM 118.324219 1709670213.6572
MEM 130.433594 1709670213.7582
MEM 135.023438 1709670213.8582
MEM 135.824219 1709670213.9592
MEM 135.824219 1709670214.0602
MEM 135.824219 1709670214.1612
MEM 135.824219 1709670214.2612
MEM 135.824219 1709670214.3622
MEM 135.824219 1709670214.4632
MEM 135.824219 1709670214.5642
MEM 135.824219 1709670214.6652
MEM 135.824219 1709670214.7655
MEM 135.824219 1709670214.8665
MEM 135.824219 1709670214.9665
MEM 135.824219 1709670215.0665
MEM 135.824219 1709670215.1675
MEM 135.824219 1709670215.2675
MEM 135.824219 1709670215.3685
MEM 135.824219 1709670215.4695
MEM 135.824219 1709670215.5695
MEM 135.824219 1709670215.6695
MEM 135.824219 1709670215.7695
MEM 135.824219 1709670215.8705
MEM 135.824219 1709670215.9713
MEM 135.824219 1709670216.0722
MEM 135.824219 1709670216.1722
MEM 135.824219 1709670216.2722
MEM 135.824219 1709670216.3732
MEM 135.824219 1709670216.4742
MEM 135.824219 1709670216.5752
MEM 135.824219 1709670216.6753
MEM 135.824219 1709670216.7763
MEM 135.824219 1709670216.8772
MEM 135.824219 1709670216.9998
MEM 135.824219 1709670217.1005
MEM 135.824219 1709670217.2006
MEM 135.824219 1709670217.3011
MEM 135.824219 1709670217.4021
MEM 135.824219 1709670217.5025
MEM 135.824219 1709670217.6049
MEM 135.824219 1709670217.7059
MEM 135.824219 1709670217.8059
MEM 135.824219 1709670217.9069
MEM 135.824219 1709670218.0069
MEM 135.824219 1709670218.1069
MEM 135.824219 1709670218.2078
MEM 135.824219 1709670218.3083
MEM 135.824219 1709670218.4092
MEM 135.824219 1709670218.5092
MEM 135.824219 1709670218.6095
MEM 135.824219 1709670218.7100
MEM 135.824219 1709670218.8100
MEM 135.824219 1709670218.9105
MEM 135.824219 1709670219.0113
MEM 135.824219 1709670219.1113
MEM 135.824219 1709670219.2118
MEM 135.824219 1709670219.3123
MEM 135.824219 1709670219.4131
MEM 135.824219 1709670219.5135
MEM 135.824219 1709670219.6142
MEM 135.824219 1709670219.7144
MEM 135.824219 1709670219.8152
MEM 135.824219 1709670219.9160
MEM 135.824219 1709670220.0165
MEM 135.824219 1709670220.1165
MEM 135.824219 1709670220.2175
MEM 135.824219 1709670220.3185
MEM 135.824219 1709670220.4195
MEM 135.824219 1709670220.5195
MEM 135.824219 1709670220.6195
MEM 135.824219 1709670220.7204
MEM 135.824219 1709670220.8205
MEM 135.824219 1709670220.9206
MEM 135.824219 1709670221.0212
MEM 135.824219 1709670221.1217
MEM 135.824219 1709670221.2224
MEM 135.824219 1709670221.3231
MEM 135.824219 1709670221.4233
MEM 135.824219 1709670221.5241
MEM 135.824219 1709670221.6241
MEM 135.824219 1709670221.7249
MEM 135.824219 1709670221.8255
MEM 135.824219 1709670221.9255
MEM 135.824219 1709670222.0264
MEM 135.824219 1709670222.1265
MEM 135.824219 1709670222.2273
MEM 135.824219 1709670222.3275
MEM 135.824219 1709670222.4275
MEM 135.824219 1709670222.5275
MEM 135.824219 1709670222.6285
MEM 135.824219 1709670222.7292
MEM 135.824219 1709670222.8296
MEM 135.824219 1709670222.9302
MEM 135.824219 1709670223.0306
MEM 135.824219 1709670223.1311
MEM 135.824219 1709670223.2316
MEM 135.824219 1709670223.3325
MEM 135.824219 1709670223.4331
MEM 135.824219 1709670223.5335
MEM 135.824219 1709670223.6339
MEM 135.824219 1709670223.7340
MEM 135.824219 1709670223.8341
MEM 135.824219 1709670223.9345
MEM 135.824219 1709670224.0355
MEM 135.824219 1709670224.1365
MEM 135.824219 1709670224.2370
MEM 135.824219 1709670224.3379
MEM 135.824219 1709670224.4382
MEM 135.824219 1709670224.5386
MEM 135.824219 1709670224.6395
MEM 135.824219 1709670224.7395
MEM 135.824219 1709670224.8395
MEM 135.824219 1709670224.9399
MEM 135.824219 1709670225.0403
MEM 135.824219 1709670225.1403
MEM 135.824219 1709670225.2410
MEM 135.824219 1709670225.3413
MEM 135.824219 1709670225.4414
MEM 135.824219 1709670225.5415
MEM 135.824219 1709670225.6421
MEM 135.824219 1709670225.7422
MEM 135.824219 1709670225.8423
MEM 135.824219 1709670225.9427
MEM 135.824219 1709670226.0432
MEM 135.824219 1709670226.1441
MEM 135.824219 1709670226.2444
MEM 135.824219 1709670226.3453
MEM 135.824219 1709670226.4460
MEM 135.824219 1709670226.5466
MEM 135.824219 1709670226.6470
MEM 135.824219 1709670226.7480
MEM 135.824219 1709670226.8480
MEM 135.824219 1709670226.9480
MEM 135.824219 1709670227.0481
MEM 135.824219 1709670227.1486
MEM 135.824219 1709670227.2488
MEM 135.824219 1709670227.3490
MEM 135.824219 1709670227.4493
MEM 135.824219 1709670227.5502
MEM 135.824219 1709670227.6506
MEM 135.824219 1709670227.7516
MEM 135.824219 1709670227.8523
MEM 135.824219 1709670227.9524
MEM 135.824219 1709670228.0533
MEM 135.824219 1709670228.1536
MEM 135.824219 1709670228.2539
MEM 135.824219 1709670228.3547
MEM 135.824219 1709670228.4548
MEM 135.824219 1709670228.5553
MEM 135.824219 1709670228.6558
MEM 135.824219 1709670228.7564
MEM 135.824219 1709670228.8573
MEM 135.824219 1709670228.9578
MEM 135.824219 1709670229.0628
MEM 135.824219 1709670229.1638
MEM 135.824219 1709670229.2638
MEM 135.824219 1709670229.3648
MEM 135.824219 1709670229.4658
