CMDLINE C:\Users\Robert\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.578125 1709670321.4947
MEM 11.136719 1709670321.5947
MEM 19.367188 1709670321.6947
MEM 23.695312 1709670321.7957
MEM 28.781250 1709670321.8967
MEM 34.871094 1709670321.9967
MEM 42.894531 1709670322.0991
MEM 50.343750 1709670322.2011
MEM 55.093750 1709670322.3021
MEM 61.074219 1709670322.4031
MEM 65.738281 1709670322.5031
MEM 69.578125 1709670322.6033
MEM 73.000000 1709670322.7040
MEM 76.421875 1709670322.8048
MEM 80.296875 1709670322.9048
MEM 82.886719 1709670323.0058
MEM 84.406250 1709670323.1058
MEM 90.519531 1709670323.2058
MEM 93.585938 1709670323.3061
MEM 95.902344 1709670323.4061
MEM 96.937500 1709670323.5071
MEM 98.503906 1709670323.6071
MEM 100.007812 1709670323.7071
MEM 101.515625 1709670323.8081
MEM 103.128906 1709670323.9091
MEM 110.820312 1709670324.0101
MEM 115.019531 1709670324.1101
MEM 115.031250 1709670324.2111
MEM 115.035156 1709670324.3111
MEM 115.082031 1709670324.4111
MEM 127.367188 1709670324.5111
MEM 135.023438 1709670324.6121
MEM 135.726562 1709670324.7131
MEM 135.882812 1709670324.8132
MEM 135.882812 1709670324.9138
MEM 135.882812 1709670325.0146
MEM 135.882812 1709670325.1156
MEM 135.882812 1709670325.2156
MEM 135.882812 1709670325.3156
MEM 135.882812 1709670325.4166
MEM 135.882812 1709670325.5176
MEM 135.882812 1709670325.6186
MEM 135.882812 1709670325.7196
MEM 135.882812 1709670325.8206
MEM 135.882812 1709670325.9206
MEM 135.882812 1709670326.0212
MEM 135.882812 1709670326.1212
MEM 135.882812 1709670326.2212
MEM 135.882812 1709670326.3212
MEM 135.882812 1709670326.4222
MEM 135.882812 1709670326.5222
MEM 135.882812 1709670326.6222
MEM 135.882812 1709670326.7222
MEM 135.882812 1709670326.8232
MEM 135.882812 1709670326.9236
MEM 135.882812 1709670327.0237
MEM 135.882812 1709670327.1246
MEM 135.882812 1709670327.2256
MEM 135.882812 1709670327.3256
MEM 135.882812 1709670327.4266
MEM 135.882812 1709670327.5266
MEM 135.882812 1709670327.6276
MEM 135.882812 1709670327.7286
MEM 135.882812 1709670327.8286
MEM 135.882812 1709670327.9426
MEM 135.882812 1709670328.0427
MEM 135.882812 1709670328.1429
MEM 135.882812 1709670328.2436
MEM 135.882812 1709670328.3438
MEM 135.882812 1709670328.4439
MEM 135.882812 1709670328.5443
MEM 135.882812 1709670328.6449
MEM 135.882812 1709670328.7455
MEM 135.882812 1709670328.8464
MEM 135.882812 1709670328.9470
MEM 135.882812 1709670329.0471
MEM 135.882812 1709670329.1476
MEM 135.882812 1709670329.2480
MEM 135.882812 1709670329.3482
MEM 135.882812 1709670329.4490
MEM 135.882812 1709670329.5496
MEM 135.882812 1709670329.6504
MEM 135.882812 1709670329.7513
MEM 135.882812 1709670329.8523
MEM 135.882812 1709670329.9525
MEM 135.882812 1709670330.0526
MEM 135.882812 1709670330.1535
MEM 135.882812 1709670330.2535
MEM 135.882812 1709670330.3545
MEM 135.882812 1709670330.4545
MEM 135.882812 1709670330.5816
MEM 135.882812 1709670330.6816
MEM 135.882812 1709670330.7820
MEM 135.882812 1709670330.8827
MEM 135.882812 1709670330.9830
MEM 135.882812 1709670331.0834
MEM 135.882812 1709670331.1837
MEM 135.882812 1709670331.2845
MEM 135.882812 1709670331.3846
MEM 135.882812 1709670331.4846
MEM 135.882812 1709670331.5854
MEM 135.882812 1709670331.6858
MEM 135.882812 1709670331.7878
MEM 135.882812 1709670331.8883
MEM 135.882812 1709670331.9886
MEM 135.882812 1709670332.0889
MEM 135.882812 1709670332.1895
MEM 135.882812 1709670332.2896
MEM 135.882812 1709670332.3906
MEM 135.882812 1709670332.4906
MEM 135.882812 1709670332.5906
MEM 135.882812 1709670332.6916
MEM 135.882812 1709670332.7924
MEM 135.882812 1709670332.8934
MEM 135.882812 1709670332.9934
MEM 135.882812 1709670333.0944
MEM 135.882812 1709670333.1954
MEM 135.882812 1709670333.2955
MEM 135.882812 1709670333.3960
MEM 135.882812 1709670333.4961
MEM 135.882812 1709670333.5963
MEM 135.882812 1709670333.6971
MEM 135.882812 1709670333.7972
MEM 135.882812 1709670333.8978
MEM 135.882812 1709670333.9982
MEM 135.882812 1709670334.0990
MEM 135.882812 1709670334.1993
MEM 135.882812 1709670334.2995
MEM 135.882812 1709670334.4005
MEM 135.882812 1709670334.5009
MEM 135.882812 1709670334.6013
MEM 135.882812 1709670334.7013
MEM 135.882812 1709670334.8021
MEM 135.882812 1709670334.9023
MEM 135.882812 1709670335.0031
MEM 135.882812 1709670335.1041
MEM 135.882812 1709670335.2049
MEM 135.882812 1709670335.3056
MEM 135.882812 1709670335.4063
MEM 135.882812 1709670335.5067
MEM 135.882812 1709670335.6076
MEM 135.882812 1709670335.7081
MEM 135.882812 1709670335.8086
MEM 135.882812 1709670335.9095
MEM 135.882812 1709670336.0096
MEM 135.882812 1709670336.1097
MEM 135.882812 1709670336.2098
MEM 135.882812 1709670336.3099
MEM 135.882812 1709670336.4101
MEM 135.882812 1709670336.5106
MEM 135.882812 1709670336.6108
MEM 135.882812 1709670336.7108
MEM 135.882812 1709670336.8108
MEM 135.882812 1709670336.9118
MEM 135.882812 1709670337.0118
MEM 135.882812 1709670337.1118
MEM 135.882812 1709670337.2123
MEM 135.882812 1709670337.3124
